file_size,entropy,nb_sections,size_code,size_image,entry_point,subsystem,dll_char,machine,sect_entropy_max,sect_entropy_mean,nb_dll,nb_imports,api_CreateRemoteThread,api_VirtualAllocEx,api_WriteProcessMemory,api_LoadLibraryA,api_GetProcAddress,api_RegSetValueExA,api_InternetOpenA,api_URLDownloadToFileA,api_CreateProcessA,api_ShellExecuteA,api_WinExec,api_IsDebuggerPresent,api_CryptEncrypt,api_OpenProcess,api_SetWindowsHookExA,api_CreateMutexA,label
65152,6.7955,6,7168,73728,7488,2,49504,34404,6.7653,3.6468,11,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21184,6.9093,2,0,12288,0,3,352,34404,4.6703,3.9822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146136,7.2615,2,0,135168,0,2,16736,34404,7.238,4.3432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4408704,6.7619,10,3405824,4509696,2419328,3,16736,34404,6.7837,4.4305,19,372,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
16915,5.2956,10,8704,53248,5152,3,1344,332,5.9882,2.3005,3,42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7027064,6.7211,5,4544000,7270400,283344,2,16704,332,6.7685,5.229,37,848,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0
128328,6.1015,7,56320,131072,52784,3,16736,34404,6.3094,3.9735,12,141,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
177024,6.0836,5,104960,188416,97824,3,16736,34404,6.2113,4.2792,50,174,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
926288,6.6365,9,599552,958464,306688,3,16736,34404,6.4869,3.7156,3,125,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
99200,6.1117,7,40960,102400,37600,3,16736,34404,6.2368,3.9591,12,130,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
709248,6.6014,7,570880,733184,302176,2,16736,34404,6.4353,4.4106,47,231,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
644640,5.8511,3,630784,655360,637726,3,34144,332,5.8229,3.024,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213425,6.1157,11,137728,245760,4592,3,352,34404,6.205,3.3983,2,48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43041,4.7281,10,8704,57344,4096,3,32768,34404,5.7965,2.4798,4,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
697968,5.873,3,679424,704512,687518,3,34112,332,5.8271,2.9767,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272664,6.5078,3,229376,262144,0,3,33120,34404,6.6644,4.4999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77312,6.54,7,60928,307200,27894,2,0,332,6.6521,4.7484,5,128,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
679747,6.6556,11,536064,708608,4912,3,352,34404,6.7725,3.6448,2,61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20656,6.7977,2,0,12288,0,3,16736,34404,2.8115,2.1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1026716,6.2057,12,772608,1056768,4592,3,352,34404,6.132,3.993,4,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19648,6.9764,2,2048,12288,0,3,1344,332,4.437,3.8656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4751832,6.4274,8,3551232,4771840,1494368,3,16736,34404,6.4304,3.3481,3,131,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
571923,6.4575,10,464384,610304,5152,3,1344,332,6.6325,3.3246,6,229,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1375152,6.6351,7,1212928,1912832,1215520,2,352,34404,6.6567,4.2006,10,141,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15624,6.7939,3,2560,32768,10614,3,34144,332,5.5486,2.8082,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30524,5.495,10,16384,69632,4096,3,32768,34404,6.0551,2.6492,2,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7690392,6.6006,13,5897216,7872512,3371024,2,49504,34404,6.5834,3.9537,19,429,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
509192,6.3282,7,383488,516096,376464,3,16736,34404,6.3342,4.6327,11,172,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
14049144,3.4355,6,512,14061568,0,2,17728,332,3.4308,1.0551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2226615,6.167,12,434688,2260992,4896,3,352,34404,6.3739,3.6008,3,75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18110,4.9689,10,5632,53248,4096,3,32768,34404,5.5571,2.2717,4,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2582416,6.4192,12,2055680,2723840,5184,3,33120,34404,6.2796,3.5612,12,395,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
25672,6.4892,3,12800,40960,20462,3,34144,332,5.8503,2.8296,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71200,6.2645,3,58880,90112,66698,3,34144,332,6.0136,3.1465,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
